# Pacjenci (id | wsp. x | wsp.y) 
99 | 21 | -438
79 | -372 | -475
8 | 66 | 165
59 | -223 | -199
5 | -280 | -384
30 | -331 | -183
46 | 151 | -106
57 | -87 | 342
28 | -168 | 35
47 | 32 | -419
90 | 83 | -297
0 | 360 | 57
52 | -257 | -426
25 | 94 | -55
97 | 302 | 434
93 | -94 | -200
14 | 492 | 277
37 | -485 | 9
68 | -132 | 301
98 | 234 | 268
73 | -348 | 81
48 | -246 | 18
1 | 455 | 286
62 | 457 | 219
10 | 463 | -402
39 | 498 | -197
13 | 255 | 50
34 | -37 | 54
41 | 325 | -45
21 | 51 | -450
50 | 446 | 464
33 | -130 | -408
11 | 282 | -15
84 | -229 | 432
64 | 38 | 17
3 | -481 | -282
86 | 47 | 230
76 | 287 | -103
95 | -124 | 48
17 | 424 | -453
92 | 232 | -385
83 | -460 | 281
32 | 296 | -495
72 | 489 | 215
82 | 321 | 84
91 | -227 | -98
22 | -238 | 300
16 | -437 | -33
81 | -89 | 71
20 | 475 | 51
54 | -361 | -493
67 | -358 | 144
80 | 199 | -134
12 | 5 | 273
85 | 128 | -266
35 | -369 | 8
6 | -100 | 354
19 | 120 | 152
69 | -263 | -257
71 | 224 | 251
18 | 179 | 403
53 | 173 | 309
87 | 70 | 407
2 | 442 | -290
27 | 459 | 472
77 | -421 | 193
96 | -457 | 338
42 | -486 | -345
66 | 13 | 336
36 | -305 | -241
100 | 355 | -301
15 | 49 | 389
63 | -76 | -366
88 | -166 | -143
78 | 208 | -382
7 | -472 | -444
40 | -273 | -11
23 | 104 | 442
49 | -62 | 245
9 | 466 | -467
61 | 482 | -353
44 | 25 | -367
38 | 436 | 171
31 | -68 | -65
65 | -275 | 104
70 | -160 | -378
89 | -448 | -312
4 | 96 | 353
24 | -346 | -26
29 | -115 | 260
74 | -209 | 481
51 | 293 | -325
45 | 411 | 1
43 | 27 | 467
26 | -104 | 492
75 | -498 | 180
94 | -338 | -260
56 | -126 | -68
55 | -373 | 366
60 | -256 | 88
