# Szpitale (id | nazwa | wsp. x | wsp. y | Liczba łóżek | Liczba wolnych łóżek) 
147 | Hospital | -470 | -177 | 303 | 794
909 | Hospital | -189 | -333 | 592 | 507
969 | Hospital | -426 | 289 | 285 | 942
497 | Hospital | -375 | -134 | 557 | 911
915 | Hospital | 38 | 209 | 843 | 397
578 | Hospital | 259 | 400 | 759 | 247
573 | Hospital | -82 | 35 | 505 | 149
332 | Hospital | 345 | 115 | 439 | 218
871 | Hospital | 441 | -331 | 956 | 975
508 | Hospital | 233 | 220 | 806 | 54
648 | Hospital | -370 | 343 | 515 | 10
372 | Hospital | -474 | 40 | 302 | 553
940 | Hospital | -33 | -268 | 784 | 905
850 | Hospital | 85 | 393 | 164 | 389
410 | Hospital | 51 | 100 | 727 | 69
221 | Hospital | 140 | -152 | 28 | 21
304 | Hospital | -62 | 303 | 207 | 839
97 | Hospital | -341 | -284 | 897 | 448
641 | Hospital | 455 | 72 | 774 | 709
743 | Hospital | -416 | -291 | 722 | 669
784 | Hospital | 66 | -32 | 598 | 554
124 | Hospital | 126 | -469 | 370 | 541
188 | Hospital | -335 | -107 | 669 | 100
920 | Hospital | -180 | 260 | 301 | 319
612 | Hospital | 160 | -14 | 26 | 768
233 | Hospital | 142 | -13 | 775 | 344
77 | Hospital | -188 | -224 | 215 | 128
454 | Hospital | 439 | -4 | 444 | 562
227 | Hospital | 499 | 23 | 408 | 304
390 | Hospital | 24 | -413 | 833 | 622
213 | Hospital | -249 | -329 | 290 | 357
799 | Hospital | 392 | -154 | 625 | 957
830 | Hospital | -23 | 499 | 593 | 399
705 | Hospital | 137 | -394 | 879 | 572
906 | Hospital | -151 | 480 | 594 | 783
408 | Hospital | 389 | -472 | 703 | 533
384 | Hospital | -246 | -202 | 622 | 992
527 | Hospital | -41 | 265 | 650 | 293
309 | Hospital | 383 | -189 | 814 | 119
538 | Hospital | 42 | -279 | 380 | 543
271 | Hospital | 280 | 63 | 425 | 143
474 | Hospital | -273 | -311 | 548 | 903
14 | Hospital | -50 | 30 | 441 | 569
853 | Hospital | -54 | 440 | 767 | 236
844 | Hospital | 94 | 493 | 168 | 986
591 | Hospital | -441 | 13 | 952 | 123
934 | Hospital | -429 | 464 | 294 | 15
865 | Hospital | 197 | -396 | 866 | 360
340 | Hospital | 313 | -45 | 949 | 259
509 | Hospital | 305 | 306 | 550 | 601
900 | Hospital | 113 | -192 | 726 | 282
72 | Hospital | 464 | -82 | 802 | 200
104 | Hospital | -489 | 427 | 660 | 491
57 | Hospital | 161 | 479 | 366 | 920
63 | Hospital | -10 | -148 | 572 | 885
492 | Hospital | 426 | 154 | 456 | 866
974 | Hospital | -164 | 136 | 56 | 48
456 | Hospital | 351 | -300 | 10 | 540
781 | Hospital | 370 | -495 | 852 | 372
250 | Hospital | 27 | -241 | 321 | 630
732 | Hospital | -200 | 336 | 559 | 458
820 | Hospital | -346 | 300 | 141 | 31
921 | Hospital | 435 | 441 | 537 | 421
907 | Hospital | 449 | -88 | 887 | 852
867 | Hospital | 271 | -162 | 566 | 750
487 | Hospital | -284 | -172 | 373 | 756
953 | Hospital | -428 | 461 | 512 | 295
441 | Hospital | -213 | 245 | 733 | 971
58 | Hospital | -427 | 193 | 815 | 364
396 | Hospital | -173 | -328 | 641 | 347
662 | Hospital | 254 | -426 | 365 | 336
655 | Hospital | 57 | -299 | 34 | 122
202 | Hospital | -397 | 183 | 723 | 960
184 | Hospital | 480 | 181 | 315 | 635
34 | Hospital | 487 | -382 | 609 | 156
191 | Hospital | 420 | 308 | 183 | 933
592 | Hospital | 461 | -178 | 405 | 413
837 | Hospital | -411 | 233 | 706 | 60
937 | Hospital | 447 | -500 | 523 | 913
455 | Hospital | -17 | 49 | 821 | 457
843 | Hospital | -382 | -302 | 329 | 593
450 | Hospital | 391 | -146 | 979 | 470
783 | Hospital | 89 | 223 | 191 | 769
852 | Hospital | -321 | -155 | 40 | 849
699 | Hospital | 307 | 165 | 464 | 828
593 | Hospital | -159 | 368 | 776 | 707
278 | Hospital | 339 | 372 | 339 | 273
905 | Hospital | 355 | 386 | 856 | 642
300 | Hospital | 184 | -198 | 608 | 581
328 | Hospital | 475 | 75 | 532 | 94
91 | Hospital | 188 | -259 | 934 | 733
941 | Hospital | -56 | 219 | 467 | 982
